00:20:01 28,17 0,00 5,65 0,39 0,00 65,79
00:30:01 19,70 0,00 4,16 0,84 0,00 75,30
00:40:02 13,96 0,00 3,54 0,54 0,00 81,96
00:50:01 5,89 0,00 2,66 0,48 0,00 90,97
01:00:01 2,10 0,00 0,91 0,13 0,00 96,87
01:10:01 21,87 0,00 1,61 0,33 0,00 76,19
01:20:01 37,35 0,00 2,66 0,28 0,00 59,71
01:30:01 44,15 0,00 2,05 0,14 0,00 53,67
01:40:01 33,89 0,00 1,94 0,22 0,00 63,95
01:50:01 47,49 0,00 2,47 0,16 0,00 49,87
02:00:02 52,16 0,00 3,71 0,25 0,00 43,88
02:10:01 54,59 0,00 5,02 0,26 0,00 40,13
02:20:01 56,98 0,00 4,80 0,25 0,00 37,97
02:30:01 31,23 0,00 2,47 0,14 0,00 66,15
02:40:01 21,97 0,00 1,63 0,22 0,00 76,18
02:50:01 46,61 0,00 4,52 0,60 0,00 48,27
03:00:01 45,55 0,00 2,75 0,13 0,00 51,56
03:10:01 9,08 0,00 4,24 0,32 0,00 86,36
03:20:01 4,72 0,00 6,52 2,19 0,00 86,57
03:21:00 0,00 0,00 0,00 0,00 0,00 100,00
07:39:00 0,00 0,00 0,00 0,00 0,00 100,00
07:40:02 7,74 2,01 7,00 11,97 0,00 71,28
07:50:01 19,69 1,69 10,32 0,46 0,00 67,84
08:00:01 19,25 0,00 2,61 0,25 0,00 77,88
08:10:01 19,06 0,00 2,61 0,23 0,00 78,11
08:20:01 19,89 0,00 2,97 0,37 0,00 76,78
08:30:01 18,39 0,00 2,21 0,02 0,00 79,38
08:40:01 18,56 0,00 2,41 0,19 0,00 78,85
08:50:02 9,93 0,00 2,10 0,24 0,00 87,73
09:00:01 2,27 0,00 0,91 0,07 0,00 96,75
09:10:01 2,26 0,00 0,93 0,08 0,00 96,73
09:20:01 14,81 0,00 2,72 0,49 0,00 81,97
09:30:01 3,50 0,00 1,20 0,27 0,00 95,04
09:40:01 3,13 0,00 1,12 0,31 0,00 95,44
09:50:01 3,36 0,00 1,36 0,36 0,00 94,91
10:00:02 2,25 0,00 0,91 0,06 0,00 96,78
10:10:01 2,25 0,00 0,91 0,10 0,00 96,75
10:20:01 3,24 0,00 1,31 0,27 0,00 95,19
10:30:01 3,85 0,00 1,42 0,37 0,00 94,36
10:40:01 6,36 0,00 2,06 0,39 0,00 91,19
10:50:01 5,39 0,00 1,92 0,80 0,00 91,89
11:00:01 2,85 0,00 0,99 0,28 0,00 95,88
11:10:01 6,63 0,00 1,85 0,42 0,00 91,10
11:11:00 0,00 0,00 0,00 0,00 0,00 100,00
16:29:00 0,00 0,00 0,00 0,00 0,00 100,00
16:30:01 0,00 0,00 0,00 0,00 0,00 0,00
16:40:01 30,82 0,00 15,63 0,54 0,00 53,01
16:50:01 41,02 0,00 18,58 0,25 0,00 40,15
17:00:01 36,21 0,00 16,17 0,03 0,00 47,60
17:10:01 39,79 0,00 16,34 0,18 0,00 43,68
17:11:00 0,00 0,00 0,00 0,00 0,00 100,00
18:39:00 0,00 0,00 0,00 0,00 0,00 100,00
18:40:01 21,23 0,01 6,34 0,30 0,00 72,13
18:41:00 0,00 0,00 0,00 0,00 0,00 100,00
21:09:00 0,00 0,00 0,00 0,00 0,00 100,00
21:10:01 10,31 5,83 1,30 0,43 0,00 82,12
21:20:01 12,06 0,00 1,23 0,36 0,00 86,34
21:30:01 11,98 0,00 1,11 0,14 0,00 86,78
21:31:00 0,00 0,00 0,00 0,00 0,00 100,00
22:59:00 0,00 0,00 0,00 0,00 0,00 100,00
23:00:01 6,10 0,00 1,31 0,48 0,00 92,10
23:10:01 11,60 0,00 1,21 0,22 0,00 86,98
23:20:01 12,02 0,00 1,30 0,28 0,00 86,40
23:30:02 12,23 0,00 1,21 0,26 0,00 86,31
23:40:01 12,12 0,00 1,20 0,29 0,00 86,40
23:50:01 1,98 0,00 0,54 0,76 0,00 96,73
