18:20:01 0,00 0,00 0,00 0,00 0,00 0,00
18:30:01 53,42 0,00 20,25 0,77 0,00 25,56
18:40:01 50,18 0,00 18,82 0,61 0,00 30,38
18:50:01 48,78 0,00 18,42 0,65 0,00 32,15
19:00:01 51,77 0,00 20,21 0,73 0,00 27,28
19:10:01 14,66 0,00 5,55 0,78 0,00 79,01
19:20:01 22,65 0,00 5,10 0,84 0,00 71,40
19:30:01 19,34 0,00 5,13 0,70 0,00 74,83
19:40:01 20,45 0,00 4,91 0,75 0,00 73,90
19:50:01 16,84 0,00 3,97 0,58 0,00 78,61
20:00:01 22,28 0,00 4,87 0,80 0,00 72,05
20:10:01 26,28 0,00 5,58 0,83 0,00 67,32
20:11:00 0,00 0,00 0,00 0,00 0,00 100,00
21:29:00 0,00 0,00 0,00 0,00 0,00 100,00
21:30:01 14,33 0,27 3,72 2,06 0,00 79,62
21:40:01 6,08 0,00 1,52 1,12 0,00 91,29
21:50:01 7,96 0,00 2,24 2,25 0,00 87,55
22:00:01 6,03 0,00 1,50 0,62 0,00 91,85
22:10:01 2,92 0,00 0,56 0,46 0,00 96,05
22:20:01 1,87 0,00 0,24 0,43 0,00 97,46
22:30:01 3,61 0,00 0,74 0,41 0,00 95,25
22:40:01 13,74 0,00 2,58 0,86 0,00 82,81
22:50:02 16,57 0,00 3,39 0,55 0,00 79,49
23:00:01 9,31 0,00 2,27 0,52 0,00 87,90
23:10:01 13,80 0,00 3,81 0,41 0,00 81,98
23:20:01 11,10 0,00 2,55 0,47 0,00 85,88
23:30:01 9,33 0,00 2,73 0,50 0,00 87,44
23:40:01 9,69 0,00 2,66 0,43 0,00 87,22
23:50:01 5,61 0,00 1,44 0,41 0,00 92,54
